Tema,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta
Geografia,¿Cuántos océanos hay en la Tierra?,"Existen 5 océanos en todo el mundo, ocupando gran parte de la superficie de la Tierra. Sus nombres son: el Pacífico, el Atlántico, el Índico, el Antártico y el Ártico, ordenados de más a menos profundidad.","Son 4 océanos que son: Pacífico, el Atlántico, el Índico, el Antártico ",Son 2 océanos Pacifico y Atlantico,Ninguna de las Anteriores,a
Geografia,¿Cuál es la ciudad más poblada del mundo?,Tokio,China,India,Africa,a
Geografia,¿Cuántos estados forman parte de Estados Unidos?,52 estados.,49 estados.,48 estados.,50 estados.,d
Geografia,¿Cuál es el río más largo del mundo?,Amazonas.,Misisipi.,Nilo.,Danubio.,c
Geografia,¿Cuantos paises hay en el mundo?,150 países.,215 países.,180 países.,195 países.,d
Geografia,¿Cómo se llama el país más pequeño del mundo?,Luxemburgo.,Liechtenstein.,Mónaco.,Ciudad del Vaticano.,d
Geografia,¿En qué país se encuentra el Monte Everest?,India.,Tíbet (China).,Bután.,Nepal.,d
Geografia,¿Cuál es la capital de Corea del Sur?,Pekín.,Tokio.,Bangkok.,Seúl.,d
Geografia,¿Qué país es el más grande del mundo?,Rusia.,Brasil.,Canadá.,Australia.,a
Geografia,¿Qué país tiene más habitantes?,Australia.,China.,Canadá.,Arabia Saudita.,b
Historia,¿Cuándo comienza la primera guerra mundial?,1820,1914,1905,1935,b
Historia,¿En qué año fue asesinado John F. Kennedy?,1960,1975,1963,1983,c
Historia,¿De qué país se originó la civilización azteca? ,México,Perú,Brasil,Argentina,a
Historia,¿Quién exploró el Nuevo Mundo?  ,Cristóbal Colón,Marco Polo,Genghis Khan,Cleopatra,a
Historia,¿En qué país vivía Albert Einstein antes de mudarse a los Estados Unidos?  ,Canadá,Australia,Francia,Alemania,d
Historia,¿Quién fue el presidente electo que gobernó más tiempo en Colombia?  ,Simón Bolívar,Álvaro Uribe Vélez,Rafael Núñez,Juan Manuel Santos,c
Historia,¿Quien le puso el nombre de Cartagena(colombia)?  ,Cristóbal Colón,Hernán Cortés,Pedro de Heredia,Francisco Pizarro,c
Historia,¿Cuantos africanos llegaron como condición de esclavo a Cartagena?  ,Aproximadamente 1 millón,"50,000","10,000","100,000",a
Historia,¿En qué país se usó la primera bomba atómica en combate?  ,Alemania,Rusia,España,Japón,d
Historia,¿ cual fue la ciudad en colombia que tuvo inquisicion?  ,Medellín,Cali,Barranquilla,Cartagena,d
Deporte,¿Cuántos anillos hay en la bandera olímpica?,5 anillos,7 anillos,3 anillos,4 anillos,a
Deporte,¿Qué selección ha ganado más Copas Mundiales de Fútbol?,Alemania,Argentina,Italia,Brasil,d
Deporte,¿Cuántos jugadores hay en un equipo de béisbol? ,9 jugadores.,7 jugadores,10 jugadores,11 jugadores,a
Deporte,¿Cuál es el deporte más practicado en el mundo? ,Fútbol (Soccer),Rugby,Tenis,Natación,d
Deporte,¿En qué deporte se conoce al árbitro como juez de silla?  ,Baloncesto,Tenis,Fútbol americano,Boxeo,b
Deporte,¿En qué club italiano jugó Diego Maradona?  ,Inter de Milán,Napoli,AC Milan,Roma,b
Deporte,¿Quién es el líder de la banda de rock The Rolling Stones?  ,John Lennon,Jim Morrison,Mick Jagger,Elvis Presley,c
Deporte,¿Qué nadador de élite ganó cuatro medallas de oro y dos de plata en las Olimpiadas de Londres 2012?  ,Ryan Lochte,Ian Thorpe,Sun Yang,Michael Phelps,d
Deporte,¿Qué pieza de ajedrez puede hacer un movimiento en forma de L? ,Caballo,Torre,Peón,Rey,a
Deporte,¿Cuáles son las tres grandes vueltas del ciclismo? ,"Vuelta a España, Vuelta a Suiza, Vuelta a Bélgica","Giro de Italia, Vuelta a Polonia, Vuelta a Portugal","Tour de Francia, Giro de Italia, Vuelta a España","Vuelta a Francia, Giro de Portugal, Giro de Polonia",c
Cine,¿Cuál fue la primera película de Disney?,La Sirenita,Cenicienta,El Rey León,Blanca Nieves y los Siete Enanitos,d
Cine,¿Cuál es la película más taquillera de la historia?,Jurassic World,Avengers: Infinity War,Avatar,Avengers: Endgame,c
Cine,¿Cuántas películas de Harry Potter se han hecho? ,8 películas.,5 películas,6 películas,7 películas,a
Cine,¿A qué mítica actriz interpreta Ana de Armas en ‘Blonde’? ,The Office,Narcos,The Queen Gambit,Stranger Things,d
Cine,¿Quién es la única princesa de Disney que se inspiró en una persona real?  ,"Bella (de ""La Bella y la Bestia"")","Pocahontas (de ""Pocahontas"")","Ariel (de ""La Sirenita"")","Mulán (de ""Mulán"")",b
Cine,¿Cuál es el nombre del barco de Jack Sparrow? ,El Vengador,El Halcón del Mar,El Perla Negra,El Tesoro Perdido,c
Cine,¿Cual película se dice que sera  las mas taquillera del año ?   ,The Super Mario Bros. Movie,Guardians of the Galaxy Vol.3,Fast of Furious X,Barbie,d
Cine,¿Como se llama la director/a de la pelicula mas taquillera del 2023?  ,Greta Gerwig,Steven Spielberg,Peter Jackson,Michael Bay,a
Cine,¿Serie mas controversial del ultimo año  en netflix ?  ,The Crown,Mesias,Jeffrey Dahmer,13 Reasons Why,c
Cine,¿Cual fue la mejor seria de netflix en el 2022? , Sex education,Dinastia,Dark,Stranger Things,d
Cultura y Musica ,¿Cuáles son las notas musicales?,ABCDEFGH,XYPQRSTU,123456789,Do-Re-Mi-Fa-Sol-La-Si,d
Cultura y Musica ,¿ De las cantantes Femeninas de los 80s cual fue la sensacion?,Janet Jackson,Cyndi Lauper,Whitney Houston,Madonna,c
Cultura y Musica ,¿Cómo se llamaba el primer álbum de The Beatles? ,Please Please Me.,Yellow Submarine,Help!,All You Need Is Love,a
Cultura y Musica ,"¿Qué famosa cantante americana ha ganado un Oscar por la canción ""Shallow""?  ",Beyoncé,Adele,Rihanna,Lady Gaga,d
Cultura y Musica ,"¿Quién saltó a la fama en 2008 con el lanzamiento del single ""I Kissed a Girl""?  ",Taylor Swift,Katy Perry,Britney Spears,Ariana Grande,b
Cultura y Musica ,¿Cantante latina con mas influencia en la actualidad ?  ,Ricky Martin,Shakira,Enrique Iglesias,Bad Bunny,b
Cultura y Musica ,¿Quién es el líder de la banda de rock The Rolling Stones? ,John Lennon,Jim Morrison,Mick Jagger,Elvis Presley,c
Cultura y Musica ,¿Cuál es la canción más reproducida en la historia de Spotify ?   ,"""Bohemian Rhapsody"" de Queen","""Shape of You"" de Ed Sheeran","""Despacito"" de Luis Fonsi y Daddy Yankee","""Blinding Lights"" de The Weeknd",d
Cultura y Musica ,¿Cuál es el disco más vendido de la historia?  ,"""Thriller"" de Michael Jackson","""The Bodyguard"" de Whitney Houston","""Led Zeppelin IV"" de Led Zeppelin","""Abbey Road"" de The Beatles",a
Cultura y Musica ,¿Cuántas cuerdas tiene una guitarra?  ,5 cuerdas,8 cuerdas,6 cuerdas,10 cuerdas,c
